Stocks_name,PE,PB,ROE,ROA
RDP,13.8,1.2,7.6,1.7
RIC,N/A,1.9,-12.9,-10.7
ROS,48.9,0.8,1.6,0.8
S4A,9.3,2.3,26.4,14.0
SAB,29.6,5.5,16.8,13.0
SAM,46.1,1.8,3.6,2.3
SBA,10.0,1.4,14.3,9.1
SBT,18.3,1.7,9.1,3.7
SBV,8.7,0.8,10.2,5.8
SC5,10.9,1.1,9.6,1.5
SCD,N/A,1.1,-19.7,-9.1
SCR,41.7,1.6,3.8,1.7
SCS,14.7,6.7,49.5,45.2
SFC,12.6,1.6,12.4,6.9
SFG,27.8,1.6,6.1,2.7
SFI,5.7,1.6,32.3,21.8
SGN,49.1,3.4,6.3,5.3
SGR,51.9,2.7,4.7,1.7
SGT,34.7,2.8,6.8,1.7
SHA,14.5,0.6,4.6,1.9
SHB,11.6,1.6,17.7,1.1
SHI,36.1,2.2,5.2,1.4
SHP,10.1,2.0,22.0,14.6
SII,N/A,1.1,-5.2,-3.1
SJD,8.8,1.5,17.5,12.0
SJF,52.2,1.1,2.2,1.5
SJS,196.4,4.5,2.2,0.7
SKG,N/A,1.7,-4.5,-4.5
SMA,9.3,1.0,12.2,5.1
SMB,7.9,2.4,29.5,18.1
SMC,2.8,1.1,43.2,10.6
SPM,13.3,0.3,2.6,1.9
SRC,13.4,1.2,9.3,2.9
SRF,20.2,1.2,5.0,1.5
SSB,22.5,2.7,16.8,1.4
SSC,9.4,1.6,15.5,11.0
SSI,16.8,3.2,22.8,6.3
ST8,20.6,1.1,4.6,3.2
STB,18.2,1.8,10.9,0.7
STG,12.2,1.6,13.2,9.2
STK,13.6,3.0,24.1,14.9
SVC,25.9,2.7,8.0,3.3
SVD,11.8,0.9,7.9,2.9
SVI,10.0,1.4,15.3,8.1
SVT,6.9,1.3,18.8,18.2
SZC,24.9,5.5,23.8,6.3
SZL,11.8,2.0,17.6,6.0
TAC,14.1,4.1,33.6,8.5
TBC,11.8,2.4,13.9,10.5
TCB,9.8,1.9,21.5,3.6
TCD,13.3,3.4,29.1,5.0
TCH,29.8,1.6,5.0,4.1
TCL,10.8,2.2,18.9,11.8
TCM,33.9,2.8,8.5,4.3
TCO,9.3,1.5,18.5,16.4
TCR,38.5,0.8,1.9,1.0
TCT,280.8,1.9,0.7,0.6
TDC,19.8,1.9,9.3,2.2
TDG,12.9,0.9,7.8,3.4
TDH,N/A,2.4,-27.4,-14.1
TDM,10.8,1.9,18.7,13.8
TDP,17.2,2.1,12.7,3.9
TDW,11.0,1.9,18.0,7.1
TEG,N/A,1.4,N/A,N/A
TGG,6.0,1.6,30.6,20.3
THG,10.7,2.6,25.5,8.8
THI,16.8,1.0,5.8,2.3
TIP,17.1,2.3,13.8,9.0
TIX,N/A,1.2,N/A,N/A
TLD,30.2,1.1,3.6,2.5
TLG,12.3,1.9,15.2,11.5
TLH,4.7,1.1,25.7,12.8
TMP,11.6,3.1,25.5,18.1
TMS,15.7,3.1,23.5,13.8
TMT,15.5,1.4,9.8,2.0
TN1,12.2,1.6,14.7,6.3
TNA,39.1,1.5,3.7,0.9
TNC,16.3,1.9,11.5,10.1
TNH,17.6,3.2,20.2,11.6
TNI,N/A,0.7,-2.8,-1.5
TNT,30.2,1.6,8.9,7.4
TPB,13.8,2.6,22.8,2.0
TPC,15.3,0.7,4.5,2.1
TRC,14.5,0.9,6.2,5.0
TSC,25.4,1.7,5.9,5.3
TTA,17.1,1.3,7.7,2.8
TTB,77.1,1.0,1.3,0.5
TTE,16.3,1.5,10.0,2.9
TTF,675.7,10.4,N/A,0.4
TV2,9.7,1.9,22.0,7.6
TVB,9.0,2.0,30.8,22.4
TVS,10.5,3.1,33.7,10.0
TVT,7.7,1.1,13.6,5.5
TYA,8.9,1.2,14.0,6.3
UDC,N/A,1.3,-5.9,-2.2
UIC,8.4,1.4,17.6,12.0
VAF,19.5,1.2,6.1,4.7
VCA,7.2,1.1,15.3,7.9
VCB,18.3,3.6,21.0,1.6
VCF,14.9,5.1,27.8,20.8
VCG,50.9,3.1,5.4,1.5
VCI,13.9,3.2,27.1,12.6
VDP,10.8,1.1,10.8,6.2
VDS,10.1,2.7,30.2,12.6
VFG,12.9,2.1,16.8,9.2
VGC,19.2,3.3,16.5,6.1
VHC,12.6,2.4,19.9,14.0
VHM,8.6,2.6,36.5,18.0
VIB,11.4,3.0,30.6,2.3
VIC,N/A,2.9,-1.9,-0.7
VID,10.4,0.9,6.9,3.4
VIP,70.4,0.7,1.0,0.7
VIS,N/A,3.1,-25.6,-4.5
VIX,17.1,1.6,35.4,27.8
VJC,63.6,4.5,N/A,N/A
VMD,32.2,2.0,5.3,0.3
VND,14.4,4.0,43.9,11.2
VNE,234.8,1.4,0.6,0.2
VNG,891.6,1.5,0.2,0.1
VNL,N/A,1.0,N/A,N/A
VNM,15.6,5.4,30.7,20.4
VNS,N/A,0.6,-19.8,-14.7
VOS,5.2,2.5,67.1,17.3
VPB,14.3,2.2,18.6,2.5
VPD,11.2,1.4,12.7,7.8
VPG,10.4,4.8,58.9,20.8
VPH,18.6,1.4,7.7,3.6
VPI,40.2,4.4,11.5,3.6
VPS,27.4,1.1,4.0,2.7
VRC,6461.7,1.8,0.0,0.0
VRE,57.9,2.5,4.3,3.4
VSC,13.3,1.8,14.5,13.0
VSH,17.4,1.7,10.4,3.9
VSI,10.1,1.5,14.5,5.3
VTB,27.8,0.7,2.3,1.6
VTO,8.1,0.9,11.8,7.3
YBM,14.4,0.8,N/A,N/A
YEG,50.9,1.0,1.9,1.2
